user_id,seq_d1,seq_d2,domain_id
4276,"[1109, 1269, 3058, 30111, 4668]","[18202, 20246, 20489, 20773, 24023, 25247, 25499, 28213, 28671, 30111, 34335, 38366]",1
3887,"[20499, 21385, 3199, 29568, 11523, 11626, 42345]","[19363, 20499, 21385, 26004, 29568, 33074, 36924, 40176, 42345]",1
2369,"[496, 914, 1260, 1383, 23856, 3270, 27631, 4330, 5242, 6832, 6926, 34534, 38264, 39612, 14321]","[17949, 18460, 18885, 18973, 19193, 19626, 19902, 19936, 20078, 20479, 20562, 20759, 21154, 21182, 21252, 21871, 22074, 22103, 22316, 22792, 23007, 23136, 23728, 23856, 24015, 24057, 24231, 24270, 24383, 25007, 25247, 25259, 25533, 26217, 26391, 26425, 26842, 27576, 27596, 27631, 28077, 28129, 29175, 29350, 29634, 30455, 30638, 30676, 31027, 31305, 32296, 32300, 32302, 32304, 32446, 33953, 34534, 34759, 35241, 35247, 35420, 35635, 37055, 37183, 37572, 37686, 37857, 37859, 37880, 38066, 38264, 39612, 39650, 39652, 39734, 39814, 41431, 42079, 42380]",0
111,"[20, 214, 21885, 1618, 4283, 7957]","[20228, 21775, 21885, 23417, 28153, 32296, 34067, 39511, 40644]",0
3096,"[19452, 1112, 22395, 22471, 2144, 33645, 10170, 10171]","[19452, 22395, 22471, 24160, 32348, 33645]",1
7207,"[25009, 5394, 8115, 8808, 17316]","[18295, 19346, 21312, 22124, 25009, 26770, 30534, 39756]",1
4232,"[1082, 2179, 2921, 4776, 30604, 5986, 14748, 17067]","[22959, 27518, 30604, 32860, 36794, 37876, 41205]",0
2342,"[491, 1704, 3618, 4435, 9956, 10840, 11010, 12244, 12790, 12797]","[19732, 24206, 30258, 35209, 38500]",0
3438,"[797, 1368, 3879, 4095, 6473, 37445]","[19460, 20337, 30512, 36735, 37445]",1
3089,"[19448, 22080, 5039, 7201, 8850, 39864, 15470, 16209, 41672]","[19448, 22080, 39606, 39864, 41672]",1
4223,"[1081, 2452, 2914, 3034, 33066, 33801, 6943, 34907, 8412, 36966, 10634, 10647, 12322, 12585, 13214, 13790, 13917, 14228, 16194, 16669, 16901, 17160, 17180, 17237, 17286, 17319, 42117]","[33066, 33801, 34907, 36966, 42117]",0
1220,"[213, 1274, 3458, 3891, 4241, 10232]","[17989, 20033, 21918, 22716, 28332, 37336, 41227]",1
1904,"[18969, 1069, 21981, 3280, 8807]","[18251, 18969, 20987, 20990, 21981, 27252]",0
2178,"[445, 3534, 5113, 12901, 13185]","[20497, 21721, 23031, 28151, 30467, 32029, 32042, 33082, 34365]",1
1133,"[18545, 2381, 27632, 5812, 32454, 9388, 40566, 14940]","[18545, 27632, 28257, 31186, 32267, 32269, 32454, 32459, 36614, 37018, 39402, 40566]",1
1401,"[248, 1856, 26717, 3526, 6055, 35084, 8338, 10186, 10203, 13340, 13765, 13769, 40791]","[23801, 26717, 32781, 35084, 40791]",0
5102,"[21886, 2216, 7925, 8415, 10293, 11553, 11624, 14031]","[17977, 21886, 22714, 25801, 26629, 26711, 27792, 28020, 29235, 29708, 31544, 33025, 33789, 36063, 36379, 36428, 36889, 37282, 37864, 38241, 39524, 39586, 39784, 41858]",0
8725,"[4479, 36480, 36970, 11037, 11038]","[18813, 28133, 36480, 36970, 37503, 41621]",0
8795,"[30112, 5878, 7407, 35708, 37234, 13117, 40666, 15318]","[19059, 25301, 29288, 30112, 30722, 31361, 32172, 35708, 37234, 40666]",0
1643,"[312, 22479, 3883, 30228, 31166, 36219, 36220]","[20957, 21728, 22479, 25707, 29767, 30228, 30272, 31166, 32343, 36219, 36220, 38374, 39504]",1
5940,"[1918, 2919, 5488, 11944, 13837, 15242]","[21777, 21865, 25495, 31027, 36304, 37589, 38994]",0
950,"[168, 8158, 10551, 38264, 15019, 15590, 41673]","[20891, 30991, 31681, 31705, 34065, 34067, 38264, 41673]",0
1460,"[18645, 21367, 1335, 2026, 2621, 3879, 3911, 4698, 31245, 7205, 7916, 7922, 9911, 10387, 11385, 11673, 13854, 13964]","[18001, 18645, 21367, 27447, 31245, 31542, 33177]",0
5071,"[21814, 3952, 6186, 6365, 6942, 35708, 10504, 12797, 13859, 14985, 17256]","[20973, 21814, 32286, 35708, 36812, 36827]",1
5808,"[1850, 2485, 5419, 9300, 10501, 11610]","[19696, 19828, 21120, 21140, 21273, 22690, 23419, 25811, 33893, 36274]",0
1080,"[191, 18840, 3962, 29958, 5093, 10728, 15084]","[18563, 18840, 18889, 19045, 26782, 29860, 29958, 30560, 30609, 33070, 33092]",1
3867,"[957, 5883, 7948, 8693, 9446]","[26066, 34392, 38544, 38554, 38867, 39057]",1
978,"[172, 18817, 555, 827, 1505, 9898]","[18817, 20288, 23327, 23626, 26032, 34321, 36381, 39295, 40025, 41021, 41945, 42266, 42343]",1
1709,"[325, 921, 2144, 5421, 7363, 38055, 12540, 12839]","[19358, 31361, 32492, 35241, 36628, 36827, 37841, 38055, 40168, 41751]",1
3602,"[843, 3200, 4132, 4609, 7684, 15030]","[18011, 25721, 28067, 28984, 33027]",1
8795,"[30112, 5878, 7407, 35708, 37234, 13117, 40666, 15318]","[19059, 25301, 29288, 30112, 30722, 31361, 32172, 35708, 37234, 40666]",1
5349,"[1625, 2135, 2140, 2934, 4815, 38055, 17207]","[19902, 20802, 21184, 23568, 25257, 30817, 38055, 40194, 41437, 41441, 42194, 42341]",1
1438,"[18634, 343, 3176, 3591, 4042, 7229]","[18174, 18634, 20321, 20955, 20971, 20987, 21761, 21940, 23122, 23632, 23754, 24031, 25084, 25791, 26098, 26178, 26211, 26298, 26451, 26541, 27077, 27179, 28842, 29735, 29784, 30900, 31496, 31775, 31787, 32144, 32154, 32634, 32757, 33390, 34021, 34386, 34543, 34719, 35067, 36211, 36308, 36428, 36511, 37193, 37264, 39130, 40192, 40251]",1
2374,"[498, 2823, 11540, 13732, 17095]","[18503, 24768, 30350, 34675, 35007, 40464]",1
7396,"[3045, 5448, 6479, 6482, 8537, 12477]","[19694, 21570, 27422, 35087, 42246]",1
4595,"[1248, 3397, 3569, 29569, 13793]","[21699, 29569, 34877, 36043, 39794]",0
5863,"[1879, 1912, 2017, 2048, 5098, 5131, 7383]","[18852, 19111, 21604, 22060, 27713, 28442, 29591]",1
5716,"[1804, 3000, 5054, 9368, 9934, 10980, 15207]","[18052, 18198, 30065, 34061, 37557, 37559]",0
10158,"[7229, 35705, 38507, 39798, 15030]","[19338, 35705, 38507, 39798, 42421]",1
6469,"[2293, 3254, 4261, 4972, 33268, 7385, 9335, 12178]","[19696, 27521, 33268, 38536, 41971]",1
1407,"[248, 5279, 6258, 6550, 8835]","[20594, 21584, 22973, 23759, 24247, 24926, 25182, 25400, 30330, 32816, 35333, 36351, 36399, 36403, 36485, 39596, 40995]",0
3971,"[1000, 1954, 2009, 2427, 2756, 3127, 3366, 3367, 4617, 5847, 6137, 6336, 8154, 8407, 10738, 10900, 11141, 11503, 11855, 11857, 12813, 12817, 13183, 13754, 15502, 16141, 16953, 17332]","[18037, 21238, 31997, 36837, 39441, 40277]",0
2709,"[19337, 738, 22080, 3135, 5209, 6166, 6303, 34308, 36961, 12726, 16360, 16834, 17433]","[19337, 22080, 33833, 34308, 36961]",1
7181,"[2835, 3805, 4561, 4799, 8509, 8719, 9105, 9332, 10164, 10371, 11367, 11489, 11494, 11503, 11621, 12595, 15629]","[22530, 22676, 24688, 27364, 32688, 36702, 40598]",1
4190,"[1067, 1258, 24226, 28646, 4444, 17768]","[20248, 22312, 24226, 28646, 30149, 33619, 40948]",1
6385,"[23811, 26223, 3304, 5386, 11698]","[21982, 23811, 26223, 26902, 29135]",1
3406,"[790, 4584, 4586, 8348, 9335, 13358, 14132]","[34079, 39332, 40442, 41949, 42346]",1
4958,"[1421, 1667, 1883, 2231, 3106, 28032, 33461, 8060, 8176, 8269, 8523, 8525, 8565, 8572, 8629, 10798, 10907, 11503, 13189, 14825, 16967, 17353]","[19754, 19822, 20092, 24340, 27508, 28032, 31917, 33461, 36464]",1
422,"[71, 72, 211, 328, 19132, 554, 19393, 679, 876, 1136, 2686, 3093, 3473, 4057, 4746, 5166, 5385, 5943, 7141, 36478, 8920, 9007, 9422, 9423, 9997, 12407, 12933, 12958, 13079, 13303, 13756, 14851, 15067, 15183, 16706]","[18565, 19132, 19350, 19393, 36478, 39744]",1
2727,"[587, 1145, 6570, 8745, 9066, 10182, 14976]","[18387, 19712, 20572, 20763, 22302, 25168, 25669, 25751, 26092, 27100, 27594, 27958, 28014, 28043, 29288, 30935, 31422, 32684, 32688, 34176, 35033]",0
4517,"[1198, 1607, 1686, 2511, 3251, 13335]","[18287, 18607, 18925, 20628, 21308, 23297, 23301, 23496, 24817, 26014, 26052, 26056, 27958, 28043, 29759, 30710, 33061, 33224, 34025, 35267, 36485, 39961, 40361, 40363]",0
1785,"[341, 1666, 4920, 40566, 15430]","[19596, 27453, 31167, 38229, 40566]",0
3276,"[744, 1641, 3270, 6593, 15029]","[23910, 26623, 29940, 39115, 39119, 40015]",0
4332,"[1131, 2527, 7920, 11538, 12681, 13825]","[18678, 22688, 23453, 24127, 25659, 27019, 27392, 30935, 31027, 31298, 32168, 34212, 36599, 37748, 38068, 38368, 39059, 39283]",0
5508,"[1712, 6406, 36965, 38287, 10986, 14100, 14285]","[21732, 27334, 29497, 34903, 36965, 38287]",0
2452,"[521, 22471, 2342, 3593, 6449, 6873, 9885, 15206, 15621, 16278, 17474]","[21401, 22471, 26004, 29280, 33887]",0
3361,"[777, 27630, 8201, 9162, 14914, 14994]","[19107, 19125, 20479, 25247, 27630, 29644, 29680, 31273, 36664, 36841, 37728, 37758, 41468, 41726]",0
1386,"[242, 836, 3011, 6581, 7286]","[25737, 26112, 27035, 27041, 28862, 29481, 29813, 34378, 34560, 35787, 41979]",0
3037,"[19428, 1072, 4871, 35768, 9991]","[18923, 19323, 19428, 19918, 20971, 21362, 21715, 23918, 27237, 27308, 27605, 34027, 34787, 35768, 41781]",0
4632,"[1265, 5540, 34559, 8307, 37466]","[22117, 34559, 37466, 38498, 38769]",1
2825,"[19362, 2484, 2683, 3711, 4237, 4245, 5313, 8158, 8289]","[18089, 18842, 19362, 20807, 22391, 27655, 29179, 29342, 30388, 33698, 34940, 35051, 36851, 38687, 38797, 39115]",1
404,"[18115, 149, 7541, 8413, 12540, 12880]","[18115, 20630, 31115, 34889, 40556]",0
1830,"[353, 1629, 1637, 2607, 24788, 3266, 4728, 6354, 36478, 8776, 9251, 37394]","[19068, 19245, 19696, 23640, 23887, 24160, 24788, 26066, 28502, 30586, 36478, 37394]",0
56,"[14, 678, 21885, 1691, 2766, 3466, 4456, 4528, 6454, 6603, 8386, 36065, 9020, 9926, 10308, 11688, 12565, 12988, 14162, 14169, 14550, 16282, 16454, 16456, 16966, 17115, 17774, 17862, 17937, 17938]","[18037, 18535, 18793, 18983, 19483, 20288, 21781, 21885, 23391, 24926, 25273, 31741, 32327, 32688, 34613, 36065, 40431, 41576, 41734, 41779, 42156, 42244, 42254, 42262, 42272, 42305, 42321, 42356, 42421, 42439]",1
1643,"[312, 22479, 3883, 30228, 31166, 36219, 36220]","[20957, 21728, 22479, 25707, 29767, 30228, 30272, 31166, 32343, 36219, 36220, 38374, 39504]",0
7114,"[2787, 3665, 7584, 11944, 16355]","[23134, 28611, 29517, 31897, 31903, 35706, 36487, 38710]",1
5066,"[21811, 1942, 3176, 4033, 8692, 12417]","[18444, 18637, 20987, 21811, 22081, 22214, 22495, 23493, 23606, 25831, 26914, 27703, 27832, 28241, 29149, 30866, 30961, 30997, 31123, 32075, 32682, 34079, 34641, 34725, 34910, 38889, 38952, 39788, 40103, 41949]",1
6222,"[23646, 3096, 4449, 30227, 4838, 7352, 12500]","[23646, 24204, 26824, 30227, 34400]",0
6412,"[2246, 2268, 2768, 4865, 6672, 7885, 35746, 14813]","[20408, 20725, 21791, 21975, 25809, 35279, 35746, 38924]",1
1387,"[243, 21917, 1576, 22873, 5131, 32481, 7906, 8677, 9998]","[18327, 18339, 21917, 22873, 24520, 26619, 27665, 32138, 32481, 36851, 37014, 38107]",1
5239,"[22080, 4198, 7722, 8296, 9281, 12610, 12843]","[19704, 22080, 24037, 26804, 28292, 28910, 29294, 29690, 30650, 39756]",0
2063,"[414, 1213, 4833, 12209, 13728, 42104]","[18479, 33315, 33997, 39036, 42104]",0
393,"[66, 27630, 4008, 33722, 7282, 12224, 12916]","[20489, 25497, 27630, 30412, 33722]",0
1251,"[214, 2685, 27632, 38265, 10915]","[23050, 25811, 27632, 34081, 38265]",0
4080,"[1036, 4655, 4988, 33065, 12501, 13775]","[18001, 22105, 24436, 31937, 33065, 40097]",0
3190,"[19505, 26208, 34559, 7332, 11067, 13938]","[19505, 26208, 34559, 36845, 39738]",1
10333,"[7812, 8592, 9540, 10010, 11887, 12019]","[21401, 23365, 24308, 26052, 26158, 26178, 26804, 28014, 32033, 33789, 35033, 35766, 36211, 39754]",0
3939,"[20531, 1195, 1202, 1203, 3966, 8729]","[19197, 20531, 31241, 31741, 34229, 34555, 35670, 37833, 39248, 39842, 39884, 40431, 40808, 40866, 41023, 41373, 41763, 42030, 42115, 42254, 42400]",1
7890,"[3581, 4848, 31668, 5659, 6145, 6320]","[25495, 29815, 31668, 32123, 34067, 36274, 38867]",0
482,"[76, 18994, 2094, 2406, 27630, 34534, 8416, 12491]","[18994, 27630, 32275, 34534, 34948, 36383]",0
3370,"[781, 5270, 8768, 12481, 39612, 14073, 15572]","[20138, 20981, 33348, 36539, 37618, 39612]",0
651,"[105, 478, 838, 1635, 1665, 4274, 5612, 9621, 9656, 12914, 15543]","[19371, 24597, 33153, 33565, 36946]",1
