user_id,seq_d1,seq_d2,domain_id,ob_label
4276,"[1109, 1269, 3058, 30111, 4668]","[18202, 20246, 20489, 20773, 24023, 25247, 25499, 28213, 28671, 30111, 34335, 38366]",1,1
3887,"[20499, 21385, 3199, 29568, 11523, 11626, 42345]","[19363, 20499, 21385, 26004, 29568, 33074, 36924, 40176, 42345]",1,1
2369,"[496, 914, 1260, 1383, 23856, 3270, 27631, 4330, 5242, 6832, 6926, 34534, 38264, 39612, 14321]","[17949, 18460, 18885, 18973, 19193, 19626, 19902, 19936, 20078, 20479, 20562, 20759, 21154, 21182, 21252, 21871, 22074, 22103, 22316, 22792, 23007, 23136, 23728, 23856, 24015, 24057, 24231, 24270, 24383, 25007, 25247, 25259, 25533, 26217, 26391, 26425, 26842, 27576, 27596, 27631, 28077, 28129, 29175, 29350, 29634, 30455, 30638, 30676, 31027, 31305, 32296, 32300, 32302, 32304, 32446, 33953, 34534, 34759, 35241, 35247, 35420, 35635, 37055, 37183, 37572, 37686, 37857, 37859, 37880, 38066, 38264, 39612, 39650, 39652, 39734, 39814, 41431, 42079, 42380]",0,1
111,"[20, 214, 21885, 1618, 4283, 7957]","[20228, 21775, 21885, 23417, 28153, 32296, 34067, 39511, 40644]",0,1
3096,"[19452, 1112, 22395, 22471, 2144, 33645, 10170, 10171]","[19452, 22395, 22471, 24160, 32348, 33645]",1,1
7207,"[25009, 5394, 8115, 8808, 17316]","[18295, 19346, 21312, 22124, 25009, 26770, 30534, 39756]",1,1
4232,"[1082, 2179, 2921, 4776, 30604, 5986, 14748, 17067]","[22959, 27518, 30604, 32860, 36794, 37876, 41205]",0,1
2342,"[491, 1704, 3618, 4435, 9956, 10840, 11010, 12244, 12790, 12797]","[19732, 24206, 30258, 35209, 38500]",0,1
3438,"[797, 1368, 3879, 4095, 6473, 37445]","[19460, 20337, 30512, 36735, 37445]",1,1
3089,"[19448, 22080, 5039, 7201, 8850, 39864, 15470, 16209, 41672]","[19448, 22080, 39606, 39864, 41672]",1,1
4223,"[1081, 2452, 2914, 3034, 33066, 33801, 6943, 34907, 8412, 36966, 10634, 10647, 12322, 12585, 13214, 13790, 13917, 14228, 16194, 16669, 16901, 17160, 17180, 17237, 17286, 17319, 42117]","[33066, 33801, 34907, 36966, 42117]",0,1
1220,"[213, 1274, 3458, 3891, 4241, 10232]","[17989, 20033, 21918, 22716, 28332, 37336, 41227]",1,1
1904,"[18969, 1069, 21981, 3280, 8807]","[18251, 18969, 20987, 20990, 21981, 27252]",0,1
2178,"[445, 3534, 5113, 12901, 13185]","[20497, 21721, 23031, 28151, 30467, 32029, 32042, 33082, 34365]",1,1
