user_id,seq_d1,seq_d2,domain_id
8588,"[2643, 3066, 6296, 6610, 6909, 7261, 8368]","[10335, 19769, 35509, 46893, 64731, 75705, 87841]",1
5975,"[1440, 2731, 5189, 5224, 5534]","[30728, 30934, 54294, 59287, 71952, 79666]",0
7406,"[1962, 8028, 8260, 8762, 8824]","[27290, 42687, 49996, 60611, 70360, 72227, 75013, 81992, 85708, 87468]",0
8761,"[62705, 4356, 75389, 7807, 7942, 85946, 8612, 9043]","[20768, 24516, 33674, 36374, 52468, 55988, 57981, 59801, 62705, 64615, 65224, 65346, 66014, 66235, 72622, 73723, 73725, 75389, 77207, 79261, 79419, 80796, 82125, 82227, 84319, 85540, 85946, 86318, 88639]",0
4434,"[957, 1557, 1569, 2030, 3474, 3615, 5175, 7380, 7382, 8752, 89586]","[10641, 19148, 20621, 23385, 30178, 30598, 36676, 61325, 63415, 69449, 78734, 85738, 87774, 89586]",1
3808,"[768, 931, 1499, 1918, 2169, 5528, 7407, 7831]","[9572, 19831, 28666, 31608, 33332, 37678, 38514, 44284, 47221, 62526, 66337, 73013, 73813, 81230]",0
1775,"[331, 29298, 881, 1454, 2332, 2450, 3281, 3406, 3434, 4191, 6139, 79779, 7015, 7812, 8793, 9454]","[9899, 10061, 12275, 14305, 14845, 16203, 17529, 17628, 18398, 18890, 19078, 19441, 20778, 21616, 21746, 22028, 24938, 24986, 28066, 29298, 30008, 30870, 31123, 33292, 33905, 34080, 34084, 34922, 35389, 35391, 35425, 35449, 35455, 36114, 36396, 36582, 36584, 36586, 36872, 36928, 36976, 38534, 39362, 39515, 39728, 39972, 40224, 40226, 40362, 40692, 40842, 40848, 42515, 42579, 43136, 43142, 43152, 43274, 44703, 44975, 45149, 45319, 45555, 46173, 46893, 46971, 47001, 47521, 47592, 47716, 48363, 49195, 49689, 49846, 49996, 50212, 50506, 50883, 50891, 51057, 51113, 51547, 52368, 52684, 52983, 53402, 53422, 54670, 54756, 54821, 54843, 54853, 54857, 56380, 56741, 57697, 57901, 58071, 58121, 58362, 58494, 58800, 58992, 59327, 60875, 61532, 61903, 62908, 62940, 63465, 63982, 65067, 65203, 65390, 66028, 66930, 67145, 67782, 69469, 69561, 69631, 69770, 70518, 70863, 71669, 73049, 73127, 73129, 73215, 73376, 73422, 73745, 73871, 74654, 74953, 75475, 75778, 75830, 76416, 76498, 76510, 76955, 77131, 77589, 77852, 78075, 78500, 79415, 79779, 79924, 79928, 80008, 80980, 81106, 81639, 81643, 82652, 83293, 83386, 83712, 83925, 84329, 84360, 84368, 84534, 84545, 85540, 85704, 86458, 86590, 86823, 87554, 87588, 87998, 88017, 88129, 88641, 88691, 88904, 89084, 89163, 89305, 89747]",1
2327,"[399, 556, 3376, 4823, 5027, 76636, 5498]","[10337, 20083, 22218, 30016, 32110, 32982, 39709, 40810, 44290, 49923, 50653, 52337, 54813, 67328, 68912, 71187, 73013, 73247, 76636, 77956, 79205, 79261, 82281, 86260, 86564]",1
1920,"[29213, 64900, 4052, 5587, 5928]","[11213, 12553, 20345, 29213, 38835, 40472, 59283, 64311, 64900, 86129, 86517]",0
10341,"[4155, 4721, 5169, 5288, 6200, 80857, 6708, 6803, 7868]","[57251, 57995, 68178, 80857, 88876]",1
2068,"[371, 948, 1095, 83170, 7494]","[28923, 39633, 49943, 52543, 58075, 61851, 83170]",1
2402,"[420, 3997, 4002, 4706, 5154, 5345, 9236]","[9985, 10043, 11279, 12421, 14313, 15611, 17337, 18732, 26846, 31648, 38155, 47553, 48960, 58480, 79666]",1
5303,"[1222, 1386, 3344, 3428, 3970, 5219, 9198]","[41577, 41972, 42448, 43658, 54431, 60408, 63327, 69853, 82785]",1
5175,"[1193, 63258, 5202, 79758, 83580, 8838]","[25455, 26760, 31024, 36584, 42132, 43274, 43836, 44022, 53422, 58204, 63258, 65045, 65714, 68290, 71045, 74999, 79758, 83580]",0
1796,"[340, 812, 1214, 1559, 1790, 2176, 2207, 2284, 2292, 2820, 3226, 4038, 76701, 5837, 5901, 5979, 7663]","[39651, 39695, 41866, 49559, 54752, 58234, 76701]",0
