user_id,seq_d1,seq_d2,domain_id
74199,"[54998, 53, 29583, 19, 697]","[60899, 629, 0, 256, 952]",1
131358,"[42806, 1046, 844, 39, 1708, 592, 19]","[58593, 912, 592, 12, 587, 24, 0, 986]",0
2162,"[55042, 51, 893, 222, 53, 751, 160, 29627]","[61193, 587, 766, 57965, 12, 208]",1
139774,"[43648, 18233, 381, 592, 789, 1064, 30]","[58607, 0, 587, 411, 55382]",0
74986,"[37169, 672, 85, 11850, 38, 2815]","[58487, 27, 918, 552, 213]",0
3081,"[54675, 869, 1298, 730, 527, 29994, 1292, 1254, 1072, 1244, 798, 359, 446, 100, 1028, 2287, 516, 1394]","[58834, 3369, 1293, 49, 600, 2156, 1422, 761, 55608, 1617, 3148, 1361, 913]",1
85647,"[54735, 34, 1267, 231, 1878]","[59204, 56728, 528, 330, 373, 1376, 682]",1
14330,"[31103, 1587, 5785, 364, 60]","[58352, 823, 13, 274, 33, 27, 4]",0
42332,"[33903, 717, 147, 34, 171, 8668, 148]","[58417, 139, 338, 693, 847]",0
85278,"[54750, 786, 477, 78, 38]","[59306, 876, 876, 608, 1020]",1
71089,"[36779, 39, 3204, 256, 12309]","[58481, 813, 1413, 439, 676]",0
32697,"[32940, 367, 714, 8399, 19]","[58395, 0, 117, 600, 55170]",0
90183,"[54857, 726, 733, 29849, 34]","[59999, 27, 0, 581, 278, 785, 16, 621]",1
103638,"[54879, 2551, 1598, 371, 1314, 29464, 57, 906, 1251, 788]","[60136, 358, 3850, 2210, 1789, 57699]",1
53382,"[35008, 509, 9595, 1914, 39, 231]","[58442, 13, 76, 0, 364, 12]",0
66838,"[36354, 10940, 1878, 408, 34]","[58472, 13, 922, 413, 4]",0
125,"[54970, 153, 2104, 436, 3556, 906, 224, 564, 30169]","[60721, 431, 57494, 2565, 121]",1
41060,"[33776, 1266, 1385, 280, 1073, 50, 2123, 8363, 34]","[58414, 268, 806, 49, 15, 992, 1257, 12, 686, 27, 55883]",0
46389,"[34309, 9651, 1514, 960, 516, 34, 296]","[58426, 587, 15, 442, 27]",0
1557,"[29826, 1547, 34, 1587, 50, 446, 345, 545, 85, 5268, 85, 410]","[58319, 530, 885, 232, 55144]",0
2095,"[54673, 811, 231, 792, 29257, 18, 1263, 683, 93]","[58822, 15, 155, 309, 795]",1
98869,"[39557, 867, 953, 439, 906, 489, 109, 364, 1048, 1587]","[58534, 489, 2263, 587, 55309]",0
16342,"[31304, 881, 607, 134, 844, 2206, 763, 948, 981, 368, 5974]","[58356, 12, 423, 55131, 616]",0
204503,"[54929, 1068, 18, 231, 989]","[60461, 4, 0, 719, 13]",1
95867,"[54928, 2201, 60, 29513, 448, 280, 552]","[60454, 311, 306, 914, 1021, 0, 365, 70, 516]",1
100255,"[54838, 30228, 1587, 364, 511, 108, 1050, 586, 18]","[59881, 1339, 360, 56654, 368, 1612, 791]",1
215774,"[54866, 1106, 30358, 466, 39, 1367]","[60054, 697, 860, 57559, 16]",1
90892,"[38759, 14287, 270, 1889, 390]","[58519, 587, 27, 12, 55294]",0
138601,"[54944, 285, 1470, 38, 1267, 556, 304, 30377, 228, 793, 51, 1786, 729, 410, 155, 770, 600]","[60556, 57851, 178, 12, 13]",1
48129,"[54775, 231, 599, 61, 1037]","[59468, 267, 4, 56850, 274, 122, 24]",1
59611,"[54801, 39, 38, 231, 1273, 30130, 815, 186]","[59640, 623, 57323, 381, 285]",1
124316,"[42102, 16688, 416, 93, 470, 1367, 678]","[58581, 55356, 12, 991, 0, 874]",0
5131,"[30183, 803, 393, 1724, 5582, 78, 2975, 1078, 425]","[58328, 710, 358, 55104, 76]",0
24096,"[32080, 149, 60, 377, 865]","[58374, 820, 12, 303, 932]",0
243197,"[54915, 681, 454, 617, 1689]","[60373, 57433, 33, 918, 16, 27]",1
17160,"[54705, 231, 581, 670, 18, 301]","[59018, 0, 659, 580, 27]",1
152480,"[44918, 2917, 837, 562, 969, 190, 1424, 28, 20243, 951]","[58627, 1786, 15, 27, 70, 587]",0
109494,"[40620, 1308, 1020, 529, 581, 879, 15206, 589, 1089, 85, 685]","[58554, 55473, 699, 689, 70]",0
205935,"[54873, 756, 29677, 34, 649, 1429, 673, 1878]","[60095, 562, 740, 959, 754]",1
26965,"[32367, 371, 7710, 364, 1594, 574, 1618, 772, 360, 2406, 99, 2271, 3164, 410]","[58381, 55156, 1238, 468, 59, 1600, 522, 258]",0
47557,"[54773, 250, 50, 29358, 1627]","[59456, 1612, 2492, 675, 358]",1
222942,"[51964, 970, 2414, 85, 617, 435, 1598, 1594, 27341, 799]","[58714, 55489, 15, 1125, 788]",0
120782,"[41748, 16424, 1267, 381, 592, 18]","[58574, 1584, 4, 15, 281, 984, 169, 55349]",0
238088,"[54688, 424, 1539, 30235, 39, 38]","[58921, 258, 347, 15, 12, 13, 1109, 0]",1
26445,"[32315, 19, 385, 7898, 305, 91]","[58380, 55155, 4, 979, 12]",0
20057,"[31676, 159, 690, 6766, 506]","[58365, 659, 1003, 266, 885]",0
82050,"[54843, 542, 34, 29428, 518, 581]","[59910, 24, 525, 13, 544]",1
85836,"[38254, 231, 547, 12840, 255]","[58510, 370, 55402, 537, 790]",0
83338,"[54845, 216, 2215, 2216, 766, 1272]","[59923, 587, 1938, 358, 406, 854, 56958, 1854, 89]",1
124345,"[55038, 737, 39, 18, 38, 581, 30220, 783]","[61170, 507, 27, 15, 0]",1
23745,"[54719, 1879, 985, 758, 266, 232, 18, 29304]","[59112, 50, 12, 792, 13, 142, 0]",1
57421,"[35412, 1498, 45, 523, 1276, 730, 19, 549, 2720, 729, 91, 1267, 1762, 2317, 1860, 3258, 10953, 1006]","[58453, 961, 1412, 56139, 324]",0
231484,"[52819, 364, 1010, 27403, 1587]","[58722, 56239, 15, 2287, 56]",0
29146,"[32585, 1256, 252, 34, 131, 410]","[58386, 2120, 986, 358, 76, 587]",0
33417,"[54742, 1319, 1267, 29327, 474, 214, 34]","[59253, 587, 15, 13, 12]",1
185049,"[55062, 1312, 29647, 1476, 1251, 413, 619, 149]","[61341, 1600, 74, 438, 76, 986]",1
15355,"[31206, 45, 34, 30, 6032]","[58354, 748, 55129, 524, 619, 15]",0
49235,"[34594, 1568, 1287, 500, 9180]","[58433, 0, 972, 55779, 595]",0
113730,"[55036, 231, 78, 479, 431, 29860, 249, 606]","[61153, 13, 993, 581, 12]",1
50039,"[55039, 38, 281, 892, 1889, 982, 1045, 1310, 547, 34, 1134, 261]","[61177, 12, 15, 0, 587]",1
982,"[29768, 1075, 197, 93, 1082, 4358, 643, 381, 1266]","[58317, 15, 793, 1422, 2243, 1694, 624]",0
50088,"[55024, 298, 29608, 93, 213]","[61069, 0, 57841, 15, 13]",1
203059,"[54942, 45, 755, 29526, 266]","[60545, 358, 57318, 1473, 587]",1
42120,"[33882, 581, 352, 8752, 60, 405, 30]","[58417, 783, 13, 55804, 323, 4]",0
20057,"[54711, 34, 1211, 765, 345]","[59060, 817, 56828, 359, 13]",1
6356,"[54682, 381, 1196, 39, 31, 1308, 1891]","[58882, 281, 13, 724, 432, 15, 423, 968]",1
12234,"[30894, 531, 34, 5549, 607, 457]","[58346, 187, 587, 0, 759, 13]",0
54055,"[54678, 928, 34, 1889, 431]","[58858, 805, 849, 0, 441]",1
1963,"[54672, 136, 29257, 39, 1267, 592, 886]","[58819, 465, 1007, 27, 24, 4, 653, 55593]",1
90136,"[55037, 113, 314, 18, 2168, 476, 30313]","[61163, 463, 0, 587, 57935]",1
59304,"[54798, 187, 1150, 956, 359, 1751, 82, 29383, 269, 515]","[59622, 358, 649, 808, 2329, 2268, 940, 56396, 1123, 902]",1
25239,"[54723, 353, 29307, 293, 581]","[59137, 27, 910, 648, 417]",1
86803,"[38350, 690, 2142, 85, 12937, 1052, 836]","[58511, 541, 55751, 287, 15]",0
171598,"[46830, 237, 1640, 21415, 461, 34, 1462]","[58656, 0, 1299, 55431, 27]",0
156131,"[55057, 18, 29641, 837, 93]","[61300, 27, 646, 58769, 12]",1
96324,"[54867, 581, 82, 782, 29978]","[60064, 242, 587, 15, 56837, 12]",1
73099,"[36980, 11882, 2208, 410, 861, 1049, 664]","[58484, 624, 587, 2543, 55530]",0
79993,"[54741, 1254, 364, 80, 311, 104, 1605, 29325, 2356, 410, 2886]","[59242, 623, 76, 479, 56016, 15]",1
165298,"[54950, 231, 143, 1220, 899, 684, 501, 874, 1374, 1221, 1530, 1551]","[60592, 678, 57365, 587, 831, 75]",1
33280,"[32998, 2224, 64, 357, 203, 1104, 7585]","[58396, 55171, 587, 15, 1293, 468]",0
109000,"[40570, 38, 16052, 34, 1533, 119]","[58553, 0, 12, 77, 729, 609, 516]",0
59425,"[54864, 859, 29543, 1478, 18]","[60045, 759, 1171, 158, 2522, 57142, 1600, 2193]",1
21985,"[55046, 536, 30078, 34, 1030, 1496, 78, 160, 1014]","[61216, 1257, 130, 5, 57988]",1
202952,"[54925, 28, 29509, 772, 363, 38, 85, 1879]","[60435, 57419, 1074, 456, 402]",1
99950,"[54890, 1200, 449, 29639, 1107]","[60209, 4, 654, 890, 706]",1
52635,"[54879, 935, 85, 231, 396, 19]","[60133, 4, 13, 16, 0]",1
155380,"[55030, 34, 29615, 231, 813]","[61123, 0, 12, 57895, 4]",1
80547,"[54848, 85, 581, 977, 38, 1205]","[59944, 554, 12, 56811, 959]",1
131828,"[42853, 447, 53, 17439, 377, 30, 34, 1667, 231]","[58593, 1476, 55546, 818, 382]",0
