user_id,seq_d1,seq_d2,domain_id,ob_label
74199,"[54998, 53, 29583, 19, 697]","[60899, 629, 0, 256, 952]",1,1
131358,"[42806, 1046, 844, 39, 1708, 592, 19]","[58593, 912, 592, 12, 587, 24, 0, 986]",0,1
2162,"[55042, 51, 893, 222, 53, 751, 160, 29627]","[61193, 587, 766, 57965, 12, 208]",1,1
139774,"[43648, 18233, 381, 592, 789, 1064, 30]","[58607, 0, 587, 411, 55382]",0,1
74986,"[37169, 672, 85, 11850, 38, 2815]","[58487, 27, 918, 552, 213]",0,1
3081,"[54675, 869, 1298, 730, 527, 29994, 1292, 1254, 1072, 1244, 798, 359, 446, 100, 1028, 2287, 516, 1394]","[58834, 3369, 1293, 49, 600, 2156, 1422, 761, 55608, 1617, 3148, 1361, 913]",1,1
85647,"[54735, 34, 1267, 231, 1878]","[59204, 56728, 528, 330, 373, 1376, 682]",1,1
14330,"[31103, 1587, 5785, 364, 60]","[58352, 823, 13, 274, 33, 27, 4]",0,1
42332,"[33903, 717, 147, 34, 171, 8668, 148]","[58417, 139, 338, 693, 847]",0,1
85278,"[54750, 786, 477, 78, 38]","[59306, 876, 876, 608, 1020]",1,1
71089,"[36779, 39, 3204, 256, 12309]","[58481, 813, 1413, 439, 676]",0,1
32697,"[32940, 367, 714, 8399, 19]","[58395, 0, 117, 600, 55170]",0,1
90183,"[54857, 726, 733, 29849, 34]","[59999, 27, 0, 581, 278, 785, 16, 621]",1,1
103638,"[54879, 2551, 1598, 371, 1314, 29464, 57, 906, 1251, 788]","[60136, 358, 3850, 2210, 1789, 57699]",1,1
53382,"[35008, 509, 9595, 1914, 39, 231]","[58442, 13, 76, 0, 364, 12]",0,1
66838,"[36354, 10940, 1878, 408, 34]","[58472, 13, 922, 413, 4]",0,1
125,"[54970, 153, 2104, 436, 3556, 906, 224, 564, 30169]","[60721, 431, 57494, 2565, 121]",1,1
41060,"[33776, 1266, 1385, 280, 1073, 50, 2123, 8363, 34]","[58414, 268, 806, 49, 15, 992, 1257, 12, 686, 27, 55883]",0,1
46389,"[34309, 9651, 1514, 960, 516, 34, 296]","[58426, 587, 15, 442, 27]",0,1
1557,"[29826, 1547, 34, 1587, 50, 446, 345, 545, 85, 5268, 85, 410]","[58319, 530, 885, 232, 55144]",0,1
2095,"[54673, 811, 231, 792, 29257, 18, 1263, 683, 93]","[58822, 15, 155, 309, 795]",1,1
98869,"[39557, 867, 953, 439, 906, 489, 109, 364, 1048, 1587]","[58534, 489, 2263, 587, 55309]",0,1
16342,"[31304, 881, 607, 134, 844, 2206, 763, 948, 981, 368, 5974]","[58356, 12, 423, 55131, 616]",0,1
204503,"[54929, 1068, 18, 231, 989]","[60461, 4, 0, 719, 13]",1,1
95867,"[54928, 2201, 60, 29513, 448, 280, 552]","[60454, 311, 306, 914, 1021, 0, 365, 70, 516]",1,1
100255,"[54838, 30228, 1587, 364, 511, 108, 1050, 586, 18]","[59881, 1339, 360, 56654, 368, 1612, 791]",1,1
215774,"[54866, 1106, 30358, 466, 39, 1367]","[60054, 697, 860, 57559, 16]",1,1
90892,"[38759, 14287, 270, 1889, 390]","[58519, 587, 27, 12, 55294]",0,1
138601,"[54944, 285, 1470, 38, 1267, 556, 304, 30377, 228, 793, 51, 1786, 729, 410, 155, 770, 600]","[60556, 57851, 178, 12, 13]",1,1
48129,"[54775, 231, 599, 61, 1037]","[59468, 267, 4, 56850, 274, 122, 24]",1,1
59611,"[54801, 39, 38, 231, 1273, 30130, 815, 186]","[59640, 623, 57323, 381, 285]",1,1
124316,"[42102, 16688, 416, 93, 470, 1367, 678]","[58581, 55356, 12, 991, 0, 874]",0,1
5131,"[30183, 803, 393, 1724, 5582, 78, 2975, 1078, 425]","[58328, 710, 358, 55104, 76]",0,1
24096,"[32080, 149, 60, 377, 865]","[58374, 820, 12, 303, 932]",0,1
243197,"[54915, 681, 454, 617, 1689]","[60373, 57433, 33, 918, 16, 27]",1,1
17160,"[54705, 231, 581, 670, 18, 301]","[59018, 0, 659, 580, 27]",1,1
